year,date,rainfall
1900,1901-01-01,1.8
1900,1901-01-02,0.0
1900,1901-01-03,0.0
1900,1901-01-04,0.0
1900,1901-01-05,7.9
1900,1901-01-06,2.8
1900,1901-01-07,50.3
1900,1901-01-08,40.9
1900,1901-01-09,7.6
1900,1901-01-10,11.9
1900,1901-01-11,5.1
1900,1901-01-12,0.0
1900,1901-01-13,0.0
1900,1901-01-14,0.0
1900,1901-01-15,5.1
1900,1901-01-16,5.1
1900,1901-01-17,2.5
1900,1901-01-18,0.0
1900,1901-01-19,0.0
1900,1901-01-20,0.0
1900,1901-01-21,0.0
1900,1901-01-22,0.0
1900,1901-01-23,0.0
1900,1901-01-24,0.0
1900,1901-01-25,1.0
1900,1901-01-26,0.0
1900,1901-01-27,0.0
1900,1901-01-28,0.0
1900,1901-01-29,0.0
1900,1901-01-30,0.0
1900,1901-01-31,0.0
1900,1901-02-01,3.3
1900,1901-02-02,0.0
1900,1901-02-03,0.5
1900,1901-02-04,0.0
1900,1901-02-05,0.0
1900,1901-02-06,0.0
1900,1901-02-07,0.0
1900,1901-02-08,0.0
1900,1901-02-09,0.0
1900,1901-02-10,0.0
1900,1901-02-11,0.0
1900,1901-02-12,0.0
1900,1901-02-13,2.5
1900,1901-02-14,0.0
1900,1901-02-15,0.0
1900,1901-02-16,0.0
1900,1901-02-17,0.0
1900,1901-02-18,1.3
1900,1901-02-19,37.1
1900,1901-02-20,0.0
1900,1901-02-21,0.0
1900,1901-02-22,0.0
1900,1901-02-23,0.0
1900,1901-02-24,0.0
1900,1901-02-25,2.0
1900,1901-02-26,0.0
1900,1901-02-27,0.0
1900,1901-02-28,0.0
1900,1901-03-01,0.3
1900,1901-03-02,0.0
1900,1901-03-03,0.0
1900,1901-03-04,1.5
1900,1901-03-05,0.0
1900,1901-03-06,0.0
1900,1901-03-07,0.0
1900,1901-03-08,0.0
1900,1901-03-09,0.0
1900,1901-03-10,0.0
1900,1901-03-11,0.0
1900,1901-03-12,0.0
1900,1901-03-13,0.0
1900,1901-03-14,2.3
1900,1901-03-15,0.0
1900,1901-03-16,7.1
1900,1901-03-17,0.0
1900,1901-03-18,0.0
1900,1901-03-19,0.0
1900,1901-03-20,0.0
1900,1901-03-21,1.3
1900,1901-03-22,0.0
1900,1901-03-23,0.0
1900,1901-03-24,0.8
1900,1901-03-25,0.0
1900,1901-03-26,0.0
1900,1901-03-27,0.0
1900,1901-03-28,0.0
1900,1901-03-29,15.7
1900,1901-03-30,5.6
1900,1901-03-31,35.6
1900,1901-04-01,5.1
1900,1901-04-02,0.0
1900,1901-04-03,0.0
1900,1901-04-04,0.0
1900,1901-04-05,0.0
1900,1901-04-06,0.0
1900,1901-04-07,4.1
1900,1901-04-08,0.0
1900,1901-04-09,5.1
1900,1901-04-10,0.3
1900,1901-04-11,0.0
1900,1901-04-12,0.0
1900,1901-04-13,0.0
1900,1901-04-14,0.0
1900,1901-04-15,0.0
1900,1901-04-16,0.0
1900,1901-04-17,0.0
1900,1901-04-18,0.0
1900,1901-04-19,1.8
1900,1901-04-20,0.0
1900,1901-04-21,0.0
1900,1901-04-22,0.0
1900,1901-04-23,8.4
1900,1901-04-24,0.0
1900,1901-04-25,0.0
1900,1901-04-26,0.0
1900,1901-04-27,0.0
1900,1901-04-28,0.0
1900,1901-04-29,0.0
1900,1901-04-30,2.0
1900,1901-05-01,0.0
