year,date,rainfall
1900,1900-01-01,0.0
1900,1900-01-02,0.0
1900,1900-01-03,0.0
1900,1900-01-04,0.0
1900,1900-01-05,2.3
1900,1900-01-06,12.7
1900,1900-01-07,7.1
1900,1900-01-08,5.6
1900,1900-01-09,26.4
1900,1900-01-10,0.0
1900,1900-01-11,14.5
1900,1900-01-12,0.0
1900,1900-01-13,0.0
1900,1900-01-14,0.0
1900,1900-01-15,1.3
1900,1900-01-16,18.0
1900,1900-01-17,0.0
1900,1900-01-18,0.0
1900,1900-01-19,0.0
1900,1900-01-20,0.0
1900,1900-01-21,6.4
1900,1900-01-22,0.0
1900,1900-01-23,0.0
1900,1900-01-24,0.3
1900,1900-01-25,10.2
1900,1900-01-26,10.7
1900,1900-01-27,0.0
1900,1900-01-28,0.0
1900,1900-01-29,0.0
1900,1900-01-30,0.0
1900,1900-01-31,0.0
1900,1900-02-01,0.0
1900,1900-02-02,0.5
1900,1900-02-03,0.0
1900,1900-02-04,0.0
1900,1900-02-05,0.0
1900,1900-02-06,0.0
1900,1900-02-07,0.0
1900,1900-02-08,0.3
1900,1900-02-09,0.0
1900,1900-02-10,0.0
1900,1900-02-11,0.0
1900,1900-02-12,0.0
1900,1900-02-13,0.3
1900,1900-02-14,7.6
1900,1900-02-15,0.0
1900,1900-02-16,0.0
1900,1900-02-17,0.0
1900,1900-02-18,5.6
1900,1900-02-19,15.5
1900,1900-02-20,0.0
1900,1900-02-21,0.0
1900,1900-02-22,1.0
1900,1900-02-23,0.0
1900,1900-02-24,0.0
1900,1900-02-25,0.0
1900,1900-02-26,0.0
1900,1900-02-27,0.0
1900,1900-02-28,2.0
1900,1900-03-01,2.8
1900,1900-03-02,0.0
1900,1900-03-03,0.0
1900,1900-03-04,0.0
1900,1900-03-05,0.0
1900,1900-03-06,0.5
1900,1900-03-07,10.2
1900,1900-03-08,0.0
1900,1900-03-09,0.0
1900,1900-03-10,0.0
1900,1900-03-11,0.0
1900,1900-03-12,0.5
1900,1900-03-13,2.8
1900,1900-03-14,0.0
1900,1900-03-15,0.0
1900,1900-03-16,0.5
1900,1900-03-17,0.8
1900,1900-03-18,0.0
1900,1900-03-19,0.0
1900,1900-03-20,13.5
1900,1900-03-21,15.5
1900,1900-03-22,1.3
1900,1900-03-23,0.0
1900,1900-03-24,0.0
1900,1900-03-25,0.0
1900,1900-03-26,0.0
1900,1900-03-27,0.0
1900,1900-03-28,0.0
1900,1900-03-29,2.5
1900,1900-03-30,15.2
1900,1900-03-31,35.8
1900,1900-04-01,26.7
1900,1900-04-02,0.8
1900,1900-04-03,0.0
1900,1900-04-04,14.0
1900,1900-04-05,0.0
1900,1900-04-06,0.0
1900,1900-04-07,15.2
1900,1900-04-08,1.3
1900,1900-04-09,3.8
1900,1900-04-10,0.0
1900,1900-04-11,6.4
1900,1900-04-12,0.0
1900,1900-04-13,0.0
1900,1900-04-14,0.0
1900,1900-04-15,0.3
1900,1900-04-16,0.5
1900,1900-04-17,0.0
1900,1900-04-18,0.0
1900,1900-04-19,0.0
1900,1900-04-20,0.0
1900,1900-04-21,0.0
1900,1900-04-22,0.0
1900,1900-04-23,0.0
1900,1900-04-24,7.6
1900,1900-04-25,10.2
1900,1900-04-26,1.3
1900,1900-04-27,0.0
1900,1900-04-28,0.0
1900,1900-04-29,37.6
1900,1900-04-30,3.8
1900,1900-05-01,0.0
1900,1900-05-02,0.0
1900,1900-05-03,0.0
1900,1900-05-04,0.0
1900,1900-05-05,8.9
1900,1900-05-06,2.5
1900,1900-05-07,0.0
1900,1900-05-08,0.3
1900,1900-05-09,1.3
1900,1900-05-10,0.0
1900,1900-05-11,0.0
1900,1900-05-12,0.0
1900,1900-05-13,0.0
1900,1900-05-14,0.0
1900,1900-05-15,0.0
1900,1900-05-16,5.6
1900,1900-05-17,25.9
1900,1900-05-18,0.0
1900,1900-05-19,0.0
1900,1900-05-20,0.0
1900,1900-05-21,0.0
1900,1900-05-22,17.3
1900,1900-05-23,82.0
1900,1900-05-24,37.6
1900,1900-05-25,27.9
1900,1900-05-26,23.1
1900,1900-05-27,0.0
1900,1900-05-28,4.6
1900,1900-05-29,0.0
1900,1900-05-30,0.0
1900,1900-05-31,0.0
1900,1900-06-01,0.0
1900,1900-06-02,0.0
1900,1900-06-03,0.0
1900,1900-06-04,0.0
1900,1900-06-05,0.0
1900,1900-06-06,2.5
1900,1900-06-07,51.3
1900,1900-06-08,68.3
1900,1900-06-09,2.5
1900,1900-06-10,45.7
1900,1900-06-11,7.6
1900,1900-06-12,18.5
1900,1900-06-13,15.5
1900,1900-06-14,7.1
1900,1900-06-15,1.3
1900,1900-06-16,0.0
1900,1900-06-17,13.2
1900,1900-06-18,26.7
1900,1900-06-19,1.0
1900,1900-06-20,0.0
1900,1900-06-21,0.0
1900,1900-06-22,0.0
1900,1900-06-23,0.0
1900,1900-06-24,0.3
1900,1900-06-25,0.3
1900,1900-06-26,1.3
1900,1900-06-27,0.0
1900,1900-06-28,0.0
1900,1900-06-29,4.3
1900,1900-06-30,0.0
1900,1900-07-01,0.0
1900,1900-07-02,0.0
1900,1900-07-03,0.0
1900,1900-07-04,40.9
1900,1900-07-05,25.4
1900,1900-07-06,163.1
1900,1900-07-07,20.6
1900,1900-07-08,6.1
1900,1900-07-09,0.8
1900,1900-07-10,0.0
1900,1900-07-11,0.3
1900,1900-07-12,0.0
1900,1900-07-13,0.0
1900,1900-07-14,0.0
1900,1900-07-15,0.0
1900,1900-07-16,0.0
1900,1900-07-17,0.0
1900,1900-07-18,0.0
1900,1900-07-19,0.0
1900,1900-07-20,39.4
1900,1900-07-21,67.1
1900,1900-07-22,6.4
1900,1900-07-23,0.0
1900,1900-07-24,4.1
1900,1900-07-25,2.8
1900,1900-07-26,0.0
1900,1900-07-27,0.0
1900,1900-07-28,0.0
1900,1900-07-29,0.0
1900,1900-07-30,0.0
1900,1900-07-31,0.0
1900,1900-08-01,5.3
1900,1900-08-02,0.5
1900,1900-08-03,1.3
1900,1900-08-04,0.0
1900,1900-08-05,0.0
1900,1900-08-06,0.0
1900,1900-08-07,0.0
1900,1900-08-08,0.0
1900,1900-08-09,0.0
1900,1900-08-10,0.0
1900,1900-08-11,0.0
1900,1900-08-12,0.0
1900,1900-08-13,0.0
1900,1900-08-14,0.0
1900,1900-08-15,0.0
1900,1900-08-16,0.0
1900,1900-08-17,2.3
1900,1900-08-18,0.0
1900,1900-08-19,0.3
1900,1900-08-20,0.0
1900,1900-08-21,0.0
1900,1900-08-22,0.0
1900,1900-08-23,0.0
1900,1900-08-24,0.0
1900,1900-08-25,0.0
1900,1900-08-26,0.0
1900,1900-08-27,0.3
1900,1900-08-28,0.0
1900,1900-08-29,0.0
1900,1900-08-30,0.5
1900,1900-08-31,12.2
1900,1900-09-01,0.0
1900,1900-09-02,0.0
1900,1900-09-03,0.0
1900,1900-09-04,4.1
1900,1900-09-05,2.0
1900,1900-09-06,0.0
1900,1900-09-07,0.0
1900,1900-09-08,5.8
1900,1900-09-09,0.8
1900,1900-09-10,0.0
1900,1900-09-11,0.0
1900,1900-09-12,1.5
1900,1900-09-13,0.0
1900,1900-09-14,0.0
1900,1900-09-15,7.4
1900,1900-09-16,0.0
1900,1900-09-17,4.6
1900,1900-09-18,0.5
1900,1900-09-19,0.0
1900,1900-09-20,0.0
1900,1900-09-21,22.9
1900,1900-09-22,0.5
1900,1900-09-23,0.0
1900,1900-09-24,5.3
1900,1900-09-25,10.7
1900,1900-09-26,0.0
1900,1900-09-27,0.0
1900,1900-09-28,0.0
1900,1900-09-29,0.0
1900,1900-09-30,0.0
1900,1900-10-01,0.0
1900,1900-10-02,0.0
1900,1900-10-03,0.0
1900,1900-10-04,0.0
1900,1900-10-05,0.0
1900,1900-10-06,0.0
1900,1900-10-07,0.0
1900,1900-10-08,0.0
1900,1900-10-09,0.0
1900,1900-10-10,0.0
1900,1900-10-11,0.0
1900,1900-10-12,0.0
1900,1900-10-13,0.0
1900,1900-10-14,0.3
1900,1900-10-15,0.0
1900,1900-10-16,0.0
1900,1900-10-17,0.0
1900,1900-10-18,0.0
1900,1900-10-19,0.0
1900,1900-10-20,0.0
1900,1900-10-21,0.0
1900,1900-10-22,0.0
1900,1900-10-23,0.3
1900,1900-10-24,0.0
1900,1900-10-25,0.0
1900,1900-10-26,0.0
1900,1900-10-27,0.0
1900,1900-10-28,6.4
1900,1900-10-29,0.0
1900,1900-10-30,0.0
1900,1900-10-31,0.0
1900,1900-11-01,0.0
1900,1900-11-02,0.0
1900,1900-11-03,0.0
1900,1900-11-04,20.3
1900,1900-11-05,3.3
1900,1900-11-06,0.3
1900,1900-11-07,2.3
1900,1900-11-08,0.0
1900,1900-11-09,0.0
1900,1900-11-10,0.0
1900,1900-11-11,0.0
1900,1900-11-12,0.0
1900,1900-11-13,2.0
1900,1900-11-14,0.0
1900,1900-11-15,0.0
1900,1900-11-16,0.0
1900,1900-11-17,3.8
1900,1900-11-18,16.0
1900,1900-11-19,19.8
1900,1900-11-20,34.5
1900,1900-11-21,3.3
1900,1900-11-22,0.0
1900,1900-11-23,0.0
1900,1900-11-24,0.0
1900,1900-11-25,0.0
1900,1900-11-26,0.0
1900,1900-11-27,0.5
1900,1900-11-28,2.8
1900,1900-11-29,0.0
1900,1900-11-30,0.0
1900,1900-12-01,0.0
1900,1900-12-02,0.0
1900,1900-12-03,5.1
1900,1900-12-04,0.0
1900,1900-12-05,0.0
1900,1900-12-06,0.0
1900,1900-12-07,10.7
1900,1900-12-08,0.0
1900,1900-12-09,0.0
1900,1900-12-10,0.0
1900,1900-12-11,0.0
1900,1900-12-12,0.0
1900,1900-12-13,0.0
1900,1900-12-14,0.0
1900,1900-12-15,0.0
1900,1900-12-16,0.0
1900,1900-12-17,0.0
1900,1900-12-18,0.0
1900,1900-12-19,0.5
1900,1900-12-20,1.5
1900,1900-12-21,7.6
1900,1900-12-22,3.8
