date,year,Max
1900-03-09,2013,1.541
1900-03-10,2013,1.201
1900-03-11,2013,1.194
1900-03-12,2013,1.107
1900-03-13,2013,0.976
1900-03-14,2013,0.969
1900-03-15,2013,0.959
1900-03-16,2013,0.900
1900-03-17,2013,1.029
1900-03-18,2013,0.884
1900-03-19,2013,0.890
1900-03-20,2013,0.846
1900-03-21,2013,0.771
1900-03-22,2013,0.767
1900-03-23,2013,0.775
1900-03-24,2013,0.775
1900-03-25,2013,0.781
1900-03-26,2013,0.889
1900-03-27,2013,0.868
1900-03-28,2013,0.869
1900-03-29,2013,1.018
1900-03-30,2013,0.712
1900-03-31,2013,1.111
1900-04-01,2013,1.142
1900-04-02,2013,1.104
1900-04-03,2013,1.105
1900-04-04,2013,1.023
1900-04-05,2013,0.943
1900-04-06,2013,0.915
1900-04-07,2013,0.915
1900-04-08,2013,0.873
1900-04-09,2013,0.857
1900-04-10,2013,0.877
1900-04-11,2013,0.830
1900-04-12,2013,0.799
1900-04-13,2013,0.766
1900-04-14,2013,0.813
1900-04-15,2013,0.824
1900-04-16,2013,0.772
1900-04-17,2013,0.744
1900-04-18,2013,0.700
1900-04-19,2013,0.680
1900-04-20,2013,0.808
1900-04-21,2013,0.980
1900-04-22,2013,0.933
1900-04-23,2013,0.903
1900-04-24,2013,0.820
1900-04-25,2013,0.855
1900-04-26,2013,0.899
1900-04-27,2013,1.026
1900-04-28,2013,1.052
1900-04-29,2013,1.072
1900-04-30,2013,1.049
1900-05-01,2013,0.983
1900-05-02,2013,0.989
1900-05-03,2013,0.916
1900-05-04,2013,0.930
1900-05-05,2013,0.803
1900-05-06,2013,0.784
1900-05-07,2013,0.795
1900-05-08,2013,0.816
1900-05-09,2013,0.739
1900-05-10,2013,0.779
1900-05-11,2013,0.787
1900-05-12,2013,0.784
1900-05-13,2013,0.733
1900-05-14,2013,0.738
1900-05-15,2013,0.761
1900-05-16,2013,0.806
1900-05-17,2013,0.810
1900-05-18,2013,0.751
1900-05-19,2013,0.750
1900-05-20,2013,0.774
1900-05-21,2013,0.699
1900-05-22,2013,0.791
1900-05-23,2013,0.904
1900-05-24,2013,0.964
1900-05-25,2013,1.279
1900-05-26,2013,1.222
1900-05-27,2013,1.137
1900-05-28,2013,1.098
1900-05-29,2013,1.036
1900-05-30,2013,0.875
1900-05-31,2013,0.738
1900-06-01,2013,0.685
1900-06-02,2013,0.682
1900-06-03,2013,0.642
1900-06-04,2013,0.871
1900-06-05,2013,0.917
1900-06-06,2013,0.852
1900-06-07,2013,0.862
1900-06-08,2013,0.867
1900-06-09,2013,0.822
1900-06-10,2013,0.829
1900-06-11,2013,0.867
1900-06-12,2013,0.851
1900-06-13,2013,0.957
1900-06-14,2013,0.954
1900-06-15,2013,0.926
1900-06-16,2013,0.841
1900-06-17,2013,0.936
1900-06-18,2013,0.879
1900-06-19,2013,0.872
1900-06-20,2013,0.830
1900-06-21,2013,0.947
1900-06-22,2013,0.998
1900-06-23,2013,0.966
1900-06-24,2013,0.974
1900-06-25,2013,1.064
1900-06-26,2013,1.033
1900-06-27,2013,0.549
1900-06-28,2013,0.827
1900-06-29,2013,0.708
1900-06-30,2013,0.620
1900-07-01,2013,0.585
1900-07-02,2013,0.741
1900-07-03,2013,0.805
1900-07-04,2013,0.818
1900-07-05,2013,0.911
1900-07-06,2013,0.949
1900-07-07,2013,0.935
1900-07-08,2013,0.889
1900-07-09,2013,0.897
1900-07-10,2013,0.865
1900-07-11,2013,0.836
1900-07-12,2013,0.773
1900-07-13,2013,0.719
1900-07-14,2013,0.632
1900-07-15,2013,0.555
1900-07-16,2013,0.464
1900-07-17,2013,0.369
1900-07-18,2013,0.427
1900-07-19,2013,0.528
1900-07-20,2013,0.666
1900-07-21,2013,0.725
1900-07-22,2013,0.737
1900-07-23,2013,0.804
1900-07-24,2013,0.813
1900-07-25,2013,0.783
1900-07-26,2013,0.766
1900-07-27,2013,0.582
1900-07-28,2013,0.442
1900-07-29,2013,0.391
1900-07-30,2013,0.429
1900-07-31,2013,0.458
1900-08-01,2013,0.406
1900-08-02,2013,0.570
1900-08-03,2013,0.654
1900-08-04,2013,0.649
1900-08-05,2013,0.651
1900-08-06,2013,0.718
1900-08-07,2013,0.742
