year,date,rainfall
1927,1900-04-16,280.2
1963,1900-04-29,243.6
1978,1900-03-25,235.8
1963,1900-03-29,226.1
2000,1900-03-08,211.0
1922,1900-07-25,203.2
1954,1900-02-22,190.0
1929,1900-02-11,187.2
1929,1900-02-07,184.7
1976,1900-03-02,182.6
1978,1900-03-20,180.6
1922,1900-09-13,172.5
1938,1900-01-21,171.5
2018,1900-03-22,165.6
2016,1900-06-05,163.0
1930,1900-06-19,162.6
1967,1900-10-21,161.3
1981,1900-05-23,160.6
2008,1900-04-25,158.0
1908,1900-03-16,153.7
1995,1900-03-05,152.4
1974,1900-03-13,151.8
1908,1900-02-24,151.1
2021,1900-03-20,148.8
1948,1900-05-03,148.3
1968,1900-01-12,148.1
1963,1900-05-08,146.1
1930,1900-03-12,145.5
1962,1900-12-26,144.5
1934,1900-07-30,143.8
1921,1900-06-26,143.5
1929,1900-02-09,143.0
1949,1900-07-26,142.5
1956,1900-06-24,141.5
1995,1900-02-17,138.8
2020,1900-02-09,138.0
1930,1900-04-13,136.9
1914,1900-09-17,134.9
1946,1900-03-25,134.9
1947,1900-12-09,133.4
2015,1900-03-22,131.4
1914,1900-06-18,129.5
1940,1900-03-19,128.8
1919,1900-05-28,128.3
1906,1900-08-31,127.5
1937,1900-01-12,126.2
1904,1900-04-02,126.0
1947,1900-12-10,125.7
1959,1900-02-18,125.7
1962,1900-04-09,125.2
1921,1900-01-07,124.5
1989,1900-03-27,123.6
1957,1900-03-05,121.2
1916,1900-04-09,120.7
1962,1900-05-14,120.7
1976,1900-03-13,120.4
1962,1900-04-06,119.9
1933,1900-07-26,119.4
1950,1900-02-06,118.1
2017,1900-03-16,118.0
2004,1900-11-09,116.8
1968,1900-01-13,116.3
1986,1900-06-17,115.8
2001,1900-05-08,115.6
1946,1900-04-17,115.1
2013,1900-05-24,113.6
1972,1900-04-03,113.5
1976,1900-02-03,113.4
1903,1900-08-27,113.0
1938,1900-04-11,113.0
1995,1900-01-04,112.4
2013,1900-03-02,112.4
1949,1900-06-18,111.5
2006,1900-01-07,111.4
1922,1900-07-24,110.7
1980,1900-05-10,109.8
2021,1900-03-19,109.6
2009,1900-02-16,109.4
1933,1900-04-06,108.7
1946,1900-03-26,108.5
1959,1900-01-05,107.2
1961,1900-02-20,107.2
1962,1900-04-07,106.2
1963,1900-03-20,105.9
2011,1900-06-15,105.0
1943,1900-05-24,104.9
1968,1900-03-08,104.4
1912,1900-02-10,104.1
1917,1900-11-09,104.1
