date,year,rainfall
1900-03-09,2013,1.958
1900-03-10,2013,1.631
1900-03-11,2013,1.466
1900-03-12,2013,1.316
1900-03-13,2013,1.206
1900-03-14,2013,1.113
1900-03-15,2013,1.057
1900-03-16,2013,1.137
1900-03-17,2013,1.072
1900-03-18,2013,1.072
1900-03-19,2013,1.011
1900-03-20,2013,0.846
1900-03-21,2013,0.768
1900-03-22,2013,0.720
1900-03-23,2013,0.773
1900-03-24,2013,0.823
1900-03-25,2013,0.866
1900-03-26,2013,0.957
1900-03-27,2013,0.890
1900-03-28,2013,0.929
1900-03-29,2013,1.005
1900-03-30,2013,1.184
1900-03-31,2013,1.268
1900-04-01,2013,1.236
1900-04-02,2013,1.216
1900-04-03,2013,1.151
1900-04-04,2013,1.055
1900-04-05,2013,1.030
1900-04-06,2013,0.971
1900-04-07,2013,0.992
1900-04-08,2013,1.001
1900-04-09,2013,0.939
1900-04-10,2013,0.877
1900-04-11,2013,0.891
1900-04-12,2013,0.834
1900-04-13,2013,0.839
1900-04-14,2013,0.944
1900-04-15,2013,0.904
1900-04-16,2013,0.923
1900-04-17,2013,0.875
1900-04-18,2013,0.789
1900-04-19,2013,0.772
1900-04-20,2013,1.043
1900-04-21,2013,1.104
1900-04-22,2013,0.978
1900-04-23,2013,0.946
1900-04-24,2013,0.980
1900-04-25,2013,0.985
1900-04-26,2013,1.152
1900-04-27,2013,1.193
1900-04-28,2013,1.255
1900-04-29,2013,1.315
1900-04-30,2013,1.166
1900-05-01,2013,1.211
1900-05-02,2013,1.115
1900-05-03,2013,1.049
1900-05-04,2013,0.963
1900-05-05,2013,0.956
1900-05-06,2013,0.940
1900-05-07,2013,1.053
1900-05-08,2013,0.922
1900-05-09,2013,0.919
1900-05-10,2013,0.880
1900-05-11,2013,0.838
1900-05-12,2013,0.833
1900-05-13,2013,0.808
1900-05-14,2013,0.797
1900-05-15,2013,0.879
1900-05-16,2013,0.863
1900-05-17,2013,0.862
1900-05-18,2013,0.862
1900-05-19,2013,0.897
1900-05-20,2013,0.751
1900-05-21,2013,0.781
1900-05-22,2013,0.888
1900-05-23,2013,0.976
1900-05-24,2013,1.396
1900-05-25,2013,1.624
1900-05-26,2013,1.401
1900-05-27,2013,1.283
1900-05-28,2013,1.269
1900-05-29,2013,1.224
1900-05-30,2013,0.995
1900-05-31,2013,0.913
1900-06-01,2013,0.775
1900-06-02,2013,0.749
1900-06-03,2013,0.969
1900-06-04,2013,1.148
1900-06-05,2013,1.094
1900-06-06,2013,1.027
1900-06-07,2013,1.008
1900-06-08,2013,0.990
1900-06-09,2013,0.993
1900-06-10,2013,1.012
1900-06-11,2013,0.986
1900-06-12,2013,1.049
1900-06-13,2013,1.127
1900-06-14,2013,1.097
1900-06-15,2013,1.009
1900-06-16,2013,1.094
1900-06-17,2013,1.062
1900-06-18,2013,0.942
1900-06-19,2013,1.044
