date,Very dry,Very wet,Median,2021-22 to date
1900-07-01,0.0,1.4,0.0,7.6
1900-07-02,0.0,4.0,0.0,16.4
1900-07-03,0.0,12.2,0.0,39.8
1900-07-04,0.0,20.1,0.2,44.0
1900-07-05,0.0,26.2,0.2,44.0
1900-07-06,0.0,28.4,1.9,44.0
1900-07-07,0.0,29.2,2.5,44.0
1900-07-08,0.0,31.5,3.9,44.0
1900-07-09,0.0,39.199999999999996,5.0,50.6
1900-07-10,0.0,40.9,7.1,54.6
1900-07-11,0.0,44.4,10.399999999999999,54.6
1900-07-12,0.0,54.9,10.599999999999998,54.6
1900-07-13,0.0,56.2,10.899999999999999,54.6
1900-07-14,0.0,56.4,12.2,54.800000000000004
1900-07-15,0.0,56.4,12.8,54.800000000000004
1900-07-16,0.0,63.0,15.399999999999999,54.800000000000004
1900-07-17,0.4,63.0,16.6,54.800000000000004
1900-07-18,0.4,63.0,17.2,54.800000000000004
1900-07-19,0.8,63.0,18.3,54.800000000000004
1900-07-20,1.0,67.1,20.0,54.800000000000004
1900-07-21,1.0,67.6,20.799999999999997,54.800000000000004
1900-07-22,1.0,71.8,21.1,54.800000000000004
1900-07-23,1.0,71.8,23.6,54.800000000000004
1900-07-24,1.3,78.7,23.6,54.800000000000004
1900-07-25,1.5,80.1,24.2,54.800000000000004
1900-07-26,2.0,80.1,26.8,54.800000000000004
1900-07-27,2.6,86.39999999999999,29.900000000000002,54.800000000000004
1900-07-28,2.8,86.39999999999999,32.3,54.800000000000004
1900-07-29,3.0000000000000004,86.39999999999999,32.3,54.800000000000004
1900-07-30,3.1999999999999997,87.99999999999999,33.99999999999999,54.800000000000004
1900-07-31,6.1,87.99999999999999,35.2,54.800000000000004
1900-08-01,6.1,90.60000000000001,35.2,54.800000000000004
1900-08-02,6.1,91.5,36.199999999999996,54.800000000000004
1900-08-03,6.1,94.2,36.199999999999996,54.800000000000004
1900-08-04,8.599999999999998,94.2,36.199999999999996,54.800000000000004
1900-08-05,8.6,94.2,38.0,54.800000000000004
1900-08-06,8.6,94.2,38.2,54.800000000000004
1900-08-07,8.6,100.19999999999999,38.8,54.800000000000004
1900-08-08,9.2,100.19999999999999,42.4,54.800000000000004
1900-08-09,9.3,100.19999999999999,42.6,56.00000000000001
1900-08-10,9.399999999999997,100.19999999999999,42.6,62.20000000000001
1900-08-11,9.599999999999996,101.6,43.09999999999999,62.20000000000001
1900-08-12,11.799999999999997,101.6,43.7,62.20000000000001
1900-08-13,11.8,101.6,43.800000000000004,62.40000000000001
1900-08-14,11.8,104.19999999999999,45.00000000000001,62.40000000000001
1900-08-15,11.8,104.19999999999999,46.6,62.600000000000016
1900-08-16,11.8,104.19999999999999,46.6,62.600000000000016
1900-08-17,14.9,104.19999999999999,46.6,62.600000000000016
1900-08-18,16.4,118.49999999999997,46.89999999999999,62.600000000000016
1900-08-19,16.4,118.79999999999998,46.89999999999999,62.600000000000016
1900-08-20,17.2,123.4,47.699999999999996,62.600000000000016
1900-08-21,17.999999999999996,123.4,53.0,62.600000000000016
1900-08-22,17.999999999999996,123.4,53.400000000000006,62.600000000000016
1900-08-23,17.999999999999996,123.4,54.39999999999999,62.600000000000016
1900-08-24,19.349999999999998,136.0,54.39999999999999,65.80000000000001
1900-08-25,19.349999999999998,141.7,57.400000000000006,70.4
1900-08-26,20.599999999999998,144.00000000000003,60.49999999999999,70.4
1900-08-27,21.5,144.00000000000003,62.800000000000004,70.4
1900-08-28,21.799999999999997,144.00000000000003,62.849999999999994,70.4
1900-08-29,22.4,145.00000000000003,63.2,72.4
1900-08-30,22.999999999999996,145.00000000000003,65.3,72.80000000000001
1900-08-31,22.999999999999996,145.9,67.0,72.80000000000001
1900-09-01,23.599999999999998,159.90000000000003,69.2,72.80000000000001
1900-09-02,23.599999999999998,163.70000000000005,72.60000000000001,72.80000000000001
1900-09-03,23.599999999999998,163.70000000000005,72.80000000000001,74.20000000000002
1900-09-04,23.599999999999998,163.70000000000005,74.3,74.60000000000002
1900-09-05,24.799999999999997,168.0,74.6,74.60000000000002
1900-09-06,25.4,168.0,77.2,74.80000000000003
1900-09-07,25.4,168.0,78.0,74.80000000000003
1900-09-08,26.599999999999994,168.0,79.0,74.80000000000003
1900-09-09,26.599999999999994,168.0,80.14999999999999,74.80000000000003
1900-09-10,26.599999999999994,168.0,80.99999999999999,74.80000000000003
1900-09-11,26.599999999999994,187.3,81.6,74.80000000000003
1900-09-12,26.799999999999994,190.09999999999997,83.1,74.80000000000003
1900-09-13,26.799999999999994,197.10000000000008,83.29999999999998,74.80000000000003
1900-09-14,26.799999999999994,198.1,85.59999999999998,86.00000000000003
1900-09-15,26.799999999999994,198.79999999999998,85.60000000000001,86.00000000000003
1900-09-16,28.599999999999994,198.79999999999998,85.9,86.00000000000003
1900-09-17,28.599999999999994,198.79999999999998,87.94999999999997,86.00000000000003
1900-09-18,28.599999999999994,200.6,90.19999999999999,86.00000000000003
1900-09-19,31.6,202.6,94.60000000000002,86.00000000000003
1900-09-20,31.6,202.6,94.60000000000002,86.00000000000003
1900-09-21,31.6,202.6,98.14999999999998,86.00000000000003
1900-09-22,31.6,202.6,101.59999999999998,86.00000000000003
1900-09-23,31.6,206.7,102.89999999999999,86.00000000000003
1900-09-24,31.6,206.7,102.89999999999999,86.00000000000003
1900-09-25,32.0,207.70000000000007,102.89999999999999,86.00000000000003
1900-09-26,32.0,207.70000000000007,104.80000000000003,86.00000000000003
1900-09-27,35.0,207.70000000000007,105.70000000000002,87.60000000000002
1900-09-28,35.6,219.10000000000002,106.2,87.60000000000002
1900-09-29,36.2,233.00000000000009,106.2,87.60000000000002
1900-09-30,36.2,233.00000000000009,108.10000000000001,90.00000000000003
1900-10-01,36.5,233.90000000000006,108.60000000000002,96.40000000000003
1900-10-02,39.7,234.7,110.49999999999999,117.00000000000003
1900-10-03,42.1,234.7,110.49999999999999,117.00000000000003
1900-10-04,42.4,234.7,114.40000000000002,117.00000000000003
1900-10-05,45.199999999999996,234.7,114.60000000000002,117.00000000000003
1900-10-06,46.99999999999999,234.7,114.60000000000002,117.00000000000003
1900-10-07,46.99999999999999,235.1,114.60000000000002,117.00000000000003
1900-10-08,46.99999999999999,235.1,114.60000000000002,117.00000000000003
1900-10-09,47.49999999999999,235.1,122.46666666666668,117.00000000000003
1900-10-10,47.49999999999999,235.7,125.3,117.00000000000003
1900-10-11,49.800000000000004,239.80000000000004,130.20000000000002,117.00000000000003
1900-10-12,49.800000000000004,245.1,133.6,117.00000000000003
1900-10-13,49.800000000000004,245.1,133.6,117.00000000000003
1900-10-14,52.199999999999996,253.2,133.99999999999997,117.00000000000003
1900-10-15,52.199999999999996,257.1,134.8,117.00000000000003
1900-10-16,53.79999999999999,262.4,139.5,117.00000000000003
1900-10-17,59.099999999999994,262.4,142.7,117.00000000000003
1900-10-18,61.39999999999999,270.0,144.4,117.00000000000003
1900-10-19,74.20000000000002,271.0,147.49999999999997,117.00000000000003
1900-10-20,78.3,271.2,147.60000000000002,117.00000000000003
1900-10-21,79.79999999999998,282.20000000000005,148.79999999999998,117.00000000000003
1900-10-22,82.29999999999998,282.20000000000005,151.60000000000002,117.00000000000003
1900-10-23,82.29999999999998,282.20000000000005,156.00000000000003,117.00000000000003
1900-10-24,84.1,290.6,159.50000000000003,117.00000000000003
1900-10-25,84.1,304.8,161.5,117.00000000000003
1900-10-26,91.40000000000002,304.8,161.5,135.40000000000003
1900-10-27,93.60000000000002,315.20000000000005,165.2,150.20000000000005
1900-10-28,93.60000000000002,315.20000000000005,167.29999999999998,150.40000000000003
1900-10-29,93.60000000000002,315.20000000000005,167.29999999999998,150.40000000000003
1900-10-30,98.60000000000001,315.20000000000005,167.29999999999998,150.40000000000003
1900-10-31,98.60000000000001,315.20000000000005,172.20000000000007,151.40000000000003
1900-11-01,99.39999999999998,315.20000000000005,180.99999999999997,151.40000000000003
1900-11-02,102.2,315.20000000000005,181.4,151.40000000000003
1900-11-03,104.99999999999999,317.2,186.89999999999998,151.40000000000003
1900-11-04,105.40000000000002,317.2,186.89999999999998,151.40000000000003
1900-11-05,105.40000000000002,317.2,186.89999999999998,151.40000000000003
1900-11-06,105.46666666666665,327.4,186.89999999999998,151.40000000000003
1900-11-07,105.46666666666665,337.40000000000015,187.20000000000002,151.40000000000003
1900-11-08,105.46666666666665,339.1500000000002,188.79999999999998,170.20000000000005
1900-11-09,105.46666666666665,339.1500000000002,191.14999999999995,205.80000000000004
1900-11-10,105.46666666666665,339.6500000000002,195.6,207.40000000000003
1900-11-11,105.46666666666665,350.00000000000006,205.0,209.40000000000003
1900-11-12,106.59999999999998,359.4500000000002,206.3,242.00000000000003
1900-11-13,107.20000000000002,359.4500000000002,208.10000000000002,253.60000000000002
1900-11-14,108.59999999999998,364.79999999999995,216.20000000000002,253.60000000000002
1900-11-15,108.59999999999998,364.79999999999995,219.19999999999996,253.60000000000002
1900-11-16,112.80000000000003,366.1,222.39999999999995,253.60000000000002
1900-11-17,114.40000000000002,366.4000000000001,232.09999999999994,253.60000000000002
1900-11-18,115.29999999999997,378.8000000000001,233.3,253.60000000000002
1900-11-19,120.66666666666666,386.90000000000003,235.9,253.60000000000002
1900-11-20,123.36666666666666,388.7000000000001,240.3,253.60000000000002
1900-11-21,123.36666666666666,388.7000000000001,240.3,253.60000000000002
1900-11-22,128.1,390.80000000000007,242.50000000000003,253.60000000000002
1900-11-23,133.79999999999995,395.8,242.50000000000003,271.0
1900-11-24,134.7,395.8,244.80000000000004,275.2
1900-11-25,134.7,395.8,245.20000000000005,275.2
1900-11-26,135.09999999999997,395.8,250.1,309.2
1900-11-27,135.60000000000002,397.6000000000001,258.8,311.2
1900-11-28,135.60000000000002,398.4000000000001,258.8,311.2
1900-11-29,135.60000000000002,398.4000000000001,266.9,314.8
1900-11-30,135.60000000000002,426.00000000000017,266.9,332.0
1900-12-01,135.60000000000002,426.00000000000017,268.35,341.8
1900-12-02,142.99999999999997,436.20000000000005,273.80000000000007,342.0
1900-12-03,144.29999999999998,448.20000000000005,276.40000000000003,343.2
1900-12-04,147.5,452.40000000000003,276.40000000000003,343.2
1900-12-05,156.1333333333333,452.40000000000003,278.3,346.4
1900-12-06,156.1333333333333,455.00000000000006,280.50000000000006,346.4
1900-12-07,157.1333333333333,455.00000000000006,288.1000000000002,346.4
1900-12-08,168.75,455.00000000000006,297.8999999999999,347.0
1900-12-09,169.60000000000005,474.80000000000007,299.45000000000005,377.0
1900-12-10,169.60000000000005,476.30000000000007,307.85,377.8
1900-12-11,177.35,476.30000000000007,312.8500000000002,378.0
1900-12-12,177.35,489.5000000000002,314.6,378.0
1900-12-13,180.8,490.30000000000024,319.70000000000005,378.0
1900-12-14,184.00000000000003,501.2000000000002,321.2000000000001,378.0
1900-12-15,189.70000000000007,501.2000000000002,326.1,378.0
1900-12-16,199.20000000000005,508.4000000000002,328.8,378.0
1900-12-17,206.0,543.4000000000002,328.8,378.0
1900-12-18,206.24999999999997,553.4000000000002,331.4,378.4
1900-12-19,206.24999999999997,555.9999999999999,335.8,378.59999999999997
1900-12-20,207.6,555.9999999999999,335.8,378.59999999999997
1900-12-21,207.6,555.9999999999999,339.4,378.59999999999997
1900-12-22,207.6,555.9999999999999,346.6,378.59999999999997
1900-12-23,208.6,555.9999999999999,346.6,378.59999999999997
1900-12-24,208.6,555.9999999999999,354.7000000000001,401.59999999999997
1900-12-25,208.6,555.9999999999999,354.7000000000001,401.59999999999997
1900-12-26,208.6,594.9,356.6,411.59999999999997
1900-12-27,209.0,594.9,364.7000000000001,411.59999999999997
1900-12-28,210.00000000000009,594.9,365.4,413.99999999999994
1900-12-29,216.70000000000005,594.9,372.86666666666673,414.3999999999999
1900-12-30,217.50000000000003,604.5000000000001,375.0,415.7999999999999
1900-12-31,221.0,604.5000000000001,377.8000000000001,416.7999999999999
1901-01-01,221.1,603.6100000000001,381.35,438.1999999999999
1901-01-02,221.1,611.6100000000002,383.1,446.9999999999999
1901-01-03,222.34,627.0000000000001,386.70500000000004,446.9999999999999
1901-01-04,237.23,631.6700000000001,390.0050000000001,446.9999999999999
1901-01-05,237.72,634.76,392.2083333333335,446.9999999999999
1901-01-06,237.92000000000002,634.76,396.2,450.9999999999999
1901-01-07,250.06,636.57,399.0666666666666,496.9999999999999
1901-01-08,250.06,637.45,403.0050000000001,631.9999999999999
1901-01-09,252.22,641.66,406.305,633.7999999999998
1901-01-10,252.34,663.99,411.11666666666656,633.9999999999999
1901-01-11,253.69000000000005,665.8600000000001,413.17499999999995,638.7999999999998
1901-01-12,261.74,676.3950000000002,413.6166666666667,638.9999999999999
1901-01-13,262.28000000000003,679.6350000000002,420.08333333333337,638.9999999999999
1901-01-14,263.12,679.6850000000002,420.08333333333337,639.5999999999999
1901-01-15,263.12,680.1650000000002,422.65,639.5999999999999
1901-01-16,263.12,680.1650000000002,433.80000000000007,642.3999999999999
1901-01-17,263.12,680.3950000000001,446.65000000000003,642.3999999999999
1901-01-18,263.12,686.115,451.6166666666667,642.3999999999999
1901-01-19,264.785,686.115,461.29999999999995,642.3999999999999
1901-01-20,267.125,686.2149999999999,464.1500000000001,662.7999999999998
1901-01-21,277.38166666666666,713.22,469.1500000000001,669.3999999999999
1901-01-22,278.83000000000004,737.7,472.8500000000001,669.5999999999999
1901-01-23,278.91,737.7,485.675,669.5999999999999
1901-01-24,284.06000000000006,744.5000000000001,488.9,669.5999999999999
1901-01-25,289.6366666666667,762.7249999999999,500.29999999999995,669.5999999999999
1901-01-26,295.0366666666668,762.7249999999999,501.4833333333333,669.5999999999999
1901-01-27,295.0366666666668,762.7249999999999,502.3833333333333,680.3999999999999
1901-01-28,296.8366666666668,775.2249999999999,502.95000000000005,680.5999999999999
1901-01-29,306.1266666666668,775.2249999999999,502.95000000000005,682.1999999999999
1901-01-30,306.1266666666668,784.0500000000001,504.8833333333333,686.9999999999999
1901-01-31,306.1266666666668,792.8499999999998,518.6999999999999,687.7999999999998
1901-02-01,307.2,802.1,520.3499999999999,687.7999999999998
1901-02-02,312.72999999999996,803.5500000000002,526.8166666666668,687.7999999999998
1901-02-03,324.0500000000002,812.015,531.125,724.3999999999999
1901-02-04,328.6400000000002,827.3499999999998,536.05,767.9999999999999
1901-02-05,330.1300000000002,832.7699999999999,542.3,767.9999999999999
1901-02-06,333.6300000000002,838.84,543.5999999999999,767.9999999999999
1901-02-07,347.32000000000005,848.19,554.1333333333334,767.9999999999999
1901-02-08,347.83666666666664,851.7199999999999,557.6500000000001,767.9999999999999
1901-02-09,355.47666666666663,851.7199999999999,563.0333333333333,767.9999999999999
1901-02-10,356.19666666666666,851.7199999999999,566.8550000000001,767.9999999999999
1901-02-11,357.98999999999995,851.8399999999999,577.25,767.9999999999999
1901-02-12,362.99000000000007,853.1599999999997,584.6500000000001,767.9999999999999
1901-02-13,362.99000000000007,876.9200000000002,599.9499999999998,768.7999999999998
1901-02-14,364.03999999999996,909.3999999999997,610.45,769.9999999999999
1901-02-15,364.93999999999994,917.4099999999999,614.5666666666667,775.9999999999999
1901-02-16,366.46,918.5799999999998,619.05,777.5999999999999
1901-02-17,368.70666666666693,922.4300000000001,622.35,777.5999999999999
1901-02-18,375.1,927.4100000000001,622.35,777.5999999999999
1901-02-19,387.5800000000001,927.45,626.2,777.5999999999999
1901-02-20,404.22000000000014,939.31,634.0,777.5999999999999
1901-02-21,407.64000000000004,950.7499999999997,646.6999999999999,777.5999999999999
1901-02-22,410.88000000000005,987.6400000000003,648.0666666666666,777.9999999999999
1901-02-23,412.8400000000001,1001.7700000000004,648.0666666666666,849.3999999999999
1901-02-24,413.62000000000006,1004.5000000000005,655.25,861.5999999999999
1901-02-25,416.9383333333334,1020.9099999999999,667.1999999999999,949.8
1901-02-26,417.75499999999994,1047.9499999999996,672.3,1087.6
1901-02-27,422.37999999999994,1051.0999999999997,672.6999999999999,1156.6
1901-02-28,423.6733333333333,1054.0899999999995,682.1999999999998,1198.8
1901-03-01,423.72999999999996,1072.3499999999997,695.2499999999998,
1901-03-02,423.72999999999996,1078.1099999999997,697.2999999999997,
1901-03-03,432.8500000000001,1085.4900000000005,706.1999999999996,
1901-03-04,433.3300000000001,1086.7500000000005,708.05,
1901-03-05,433.3300000000001,1086.7500000000005,708.55,
1901-03-06,433.3300000000001,1089.5400000000004,708.55,
1901-03-07,439.7200000000001,1089.7400000000005,726.4000000000001,
1901-03-08,448.88500000000005,1089.7400000000005,730.65,
1901-03-09,453.5850000000002,1098.43,742.2499999999997,
1901-03-10,456.75333333333333,1102.3600000000001,742.2499999999997,
1901-03-11,456.75333333333333,1103.4099999999996,745.4499999999998,
1901-03-12,458.71999999999997,1109.3799999999999,745.4499999999998,
1901-03-13,458.74,1109.3799999999999,750.3749999999998,
1901-03-14,458.76,1113.5199999999998,751.6999999999998,
1901-03-15,473.47833333333324,1126.4699999999996,755.9,
1901-03-16,482.9599999999999,1144.1699999999998,755.9,
1901-03-17,496.0600000000001,1144.1699999999998,764.9499999999997,
1901-03-18,499.29000000000013,1144.1699999999998,765.9499999999997,
1901-03-19,506.68000000000006,1144.1699999999998,766.0499999999997,
1901-03-20,506.68000000000006,1147.8599999999997,766.1499999999997,
1901-03-21,506.68000000000006,1148.9999999999998,774.1500000000001,
1901-03-22,506.68000000000006,1175.16,776.6,
1901-03-23,506.68000000000006,1185.4700000000003,785.7499999999998,
1901-03-24,508.48,1186.5000000000002,786.3999999999999,
1901-03-25,508.66,1186.9100000000003,790.3499999999997,
1901-03-26,508.66,1186.9100000000003,799.2999999999997,
1901-03-27,508.66,1188.64,799.4499999999997,
1901-03-28,510.80000000000007,1205.5949999999996,812.4000000000002,
1901-03-29,519.4399999999998,1207.7549999999997,823.0500000000001,
1901-03-30,519.4399999999998,1209.3549999999996,823.0500000000001,
1901-03-31,533.3100000000001,1210.8399999999995,823.0500000000001,
1901-04-01,533.5100000000001,1213.3349999999996,826.7999999999997,
1901-04-02,533.5100000000001,1214.0549999999994,831.7999999999997,
1901-04-03,533.5100000000001,1216.6749999999995,835.7,
1901-04-04,541.4750000000003,1220.7949999999992,836.1500000000001,
1901-04-05,543.5899999999999,1226.4700000000003,837.7999999999997,
1901-04-06,543.5899999999999,1230.519999999999,843.6500000000001,
1901-04-07,543.8199999999998,1231.339999999999,843.6500000000001,
1901-04-08,544.2999999999998,1231.339999999999,843.6500000000001,
1901-04-09,544.2999999999998,1236.965,843.6500000000001,
1901-04-10,544.2999999999998,1238.7649999999999,843.8500000000001,
1901-04-11,548.7099999999998,1242.77,843.8500000000001,
1901-04-12,548.7099999999998,1244.0300000000002,845.5000000000002,
1901-04-13,548.7899999999998,1244.47,845.55,
1901-04-14,548.7899999999998,1244.65,854.2833333333333,
1901-04-15,549.6899999999998,1244.88,854.2833333333333,
1901-04-16,553.0099999999996,1244.88,854.2833333333333,
1901-04-17,553.2499999999997,1244.88,856.2833333333333,
1901-04-18,553.2499999999997,1245.63,857.1833333333333,
1901-04-19,553.3499999999997,1246.195,861.1333333333332,
1901-04-20,553.3499999999997,1246.195,864.95,
1901-04-21,554.0699999999996,1246.475,867.0,
1901-04-22,554.0699999999996,1246.475,870.55,
1901-04-23,554.0699999999996,1248.095,872.7499999999995,
1901-04-24,554.0699999999996,1268.8399999999995,874.4999999999995,
1901-04-25,554.0699999999996,1268.8399999999995,874.9999999999995,
1901-04-26,554.0699999999996,1275.2299999999989,879.7133333333333,
1901-04-27,562.9999999999998,1275.2299999999989,881.6633333333332,
1901-04-28,564.1399999999999,1275.2299999999989,890.2416666666668,
1901-04-29,565.7099999999998,1275.309999999999,890.8416666666665,
1901-04-30,566.1399999999999,1275.639999999999,892.6416666666668,
1901-05-01,570.6399999999999,1275.639999999999,893.2416666666664,
1901-05-02,596.3,1275.639999999999,893.2416666666664,
1901-05-03,596.3,1275.639999999999,893.2416666666664,
1901-05-04,596.3,1275.639999999999,893.6416666666664,
1901-05-05,598.4599999999998,1275.639999999999,895.7416666666663,
1901-05-06,605.5249999999999,1275.639999999999,898.5416666666664,
1901-05-07,605.8849999999999,1275.889999999999,899.0999999999993,
1901-05-08,605.8849999999999,1284.629999999999,899.0999999999993,
1901-05-09,609.845,1291.1099999999994,899.4999999999993,
1901-05-10,609.845,1291.1099999999994,905.5999999999993,
1901-05-11,610.025,1292.3899999999994,907.2499999999994,
1901-05-12,610.6650000000002,1294.1899999999996,911.5999999999995,
1901-05-13,611.1050000000002,1295.1899999999991,913.2499999999993,
1901-05-14,611.46,1300.2199999999996,918.7999999999996,
1901-05-15,614.36,1302.0199999999998,924.1249999999995,
1901-05-16,617.98,1302.0199999999998,924.7999999999997,
1901-05-17,620.3800000000001,1309.3999999999996,925.4499999999998,
1901-05-18,620.46,1309.5799999999997,925.4499999999998,
1901-05-19,620.8600000000001,1309.5799999999997,926.8999999999996,
1901-05-20,621.2800000000002,1309.5799999999997,927.1249999999994,
1901-05-21,623.8000000000002,1309.7599999999998,927.1249999999994,
1901-05-22,633.4200000000005,1309.7599999999998,932.6749999999995,
1901-05-23,633.4200000000005,1318.76,934.4999999999998,
1901-05-24,635.22,1318.76,934.4999999999998,
1901-05-25,636.1200000000001,1318.81,934.4999999999998,
1901-05-26,639.0400000000001,1320.7199999999998,934.4999999999998,
1901-05-27,640.0533333333339,1320.7199999999998,934.4999999999998,
1901-05-28,641.2800000000005,1320.7199999999998,934.6499999999996,
1901-05-29,645.7199999999998,1324.6799999999998,934.6499999999996,
1901-05-30,645.7199999999998,1324.6799999999998,935.0499999999997,
1901-05-31,645.7399999999998,1324.6799999999998,936.0999999999995,
1901-06-01,645.7599999999998,1324.6799999999998,952.0499999999995,
1901-06-02,645.8399999999998,1335.4999999999998,961.6749999999995,
1901-06-03,655.0850000000003,1343.7200000000005,969.3249999999995,
1901-06-04,662.8250000000003,1344.2600000000004,973.1999999999994,
1901-06-05,662.8250000000003,1344.4800000000005,975.8216666666668,
1901-06-06,665.938333333333,1344.7200000000005,977.7216666666668,
1901-06-07,668.188333333333,1344.7400000000005,978.5716666666667,
1901-06-08,668.9083333333331,1344.7600000000004,978.5716666666667,
1901-06-09,671.3050000000002,1368.5099999999989,978.5716666666667,
1901-06-10,671.3700000000002,1369.0699999999988,981.3999999999997,
1901-06-11,671.3700000000002,1369.8299999999988,982.8499999999999,
1901-06-12,671.3700000000002,1370.2899999999988,984.5666666666662,
